occurrenceID	catalogNumber	order	family	genus	scientificName	eventDate	country	preparations	decimalLatitude	decimalLongitude
8546	818	Asterales	Asteraceae	Pleocarphus	Pleocarphus Pleocarphus revolutus			Herbarium	37.54275766526367	-118.82916419839705
19929	3047	Asterales	Asteraceae	Printzia	Printzia Printzia auriculata			Herbarium	45.806115044774174	-73.7322159286638
4962	50512	Alismatales	Araceae	Leucocasia	Leucocasia Leucocasia gigantea			Silica dried	-33.550754628913865	-58.83133079527245
11251	50960	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia stenophylla	2015.0	Brazil	Silica dried	-33.07546824735462	-56.68887220881578
11341	51147	Laurales	Hernandiaceae	Sparattanthelium	Sparattanthelium Sparattanthelium botocudorum			Herbarium	18.36959783878382	-99.5503344077023
11239	52902	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia glabra	2012.0	Brazil	Silica dried	36.32685186082728	-119.59108729687948
8190	60233	Alismatales	Araceae	Heteropsis	Heteropsis Heteropsis steyermarkii			Herbarium	36.87992608492575	-121.25723914079173
1583	64256	Myrtales	Lythraceae	Sonneratia	Sonneratia Sonneratia sp.	1999.0		DNA bank	18.658035548445376	-96.6291633037327
4964	80591	Alismatales	Araceae	Apoballis	Apoballis Apoballis mutata			Live plant	-32.56716238618041	-57.81781600094675
4966	100613	Alismatales	Araceae	Pothoidium	Pothoidium Pothoidium lobbianum			Silica dried	16.65922437103809	-96.59117398752727
4150	112274	Solanales	Solanaceae	Capsicophysalis	Capsicophysalis Capsicophysalis sp.			Herbarium	37.83152778408079	-119.69626211187813
4967	160078	Alismatales	Araceae	Philonotion	Philonotion Philonotion americanum			Silica dried	-35.800707023503215	-58.750869054351654
4965	160082	Alismatales	Araceae	Ooia	Ooia Ooia manduensis			Silica dried	36.24437853121149	-118.84683879870448
8547	166133	Asterales	Asteraceae	Leunisia	Leunisia Leunisia laeta			Herbarium	44.10986831866869	-74.40633983004217
4963	175255	Alismatales	Araceae	Orontium	Orontium Orontium aquaticum			Silica dried	-34.273218406592804	-58.3704253221398
8548	179716	Asterales	Asteraceae	Plazia	Plazia Plazia daphnoides			Herbarium	46.937313840064434	-72.82896128354291
4149	199689	Solanales	Solanaceae	Schraderanthus	Schraderanthus Schraderanthus sp.			Herbarium	19.082178886953088	-101.09354675377021
4147	202065	Solanales	Solanaceae	Quincula	Quincula Quincula sp.			Herbarium	18.16109218641932	-97.64373975171004
4106	239777	Solanales	Solanaceae	Chamaesaracha	Chamaesaracha Chamaesaracha sp.			Herbarium	35.35380272622486	-120.49469655179111
19277	499988	Asterales	Asteraceae	Langebergia	Langebergia Langebergia canescens	1996.0	South Africa	Herbarium	18.92237276940344	-99.41700227629968
11277	747943	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia dolichotricha	2011.0	Brazil	Silica dried	-33.62477536736477	-58.095723331668204
11237	824778	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia ovata	2013.0	Brazil	Silica dried	-34.128665696151806	-56.99612897817065
11261	827281	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia gilgiana	2012.0	Brazil	Silica dried	-34.622330770086684	-59.65226644808815
11227	1108357	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia pachysandra	2015.0	Brazil	Silica dried	44.8963701934713	-74.59578829207672
11253	1108540	Laurales	Monimiaceae	Macropeplus	Macropeplus Macropeplus friburgensis	2015.0	Brazil	Silica dried	19.88320257092323	-99.66179515712719
11223	1108542	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia heteranthera	2015.0	Brazil	Silica dried	-13.925054191502108	-46.82492919584311
11229	1108554	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia elliptica	2015.0	Brazil	Silica dried	16.96749497739582	-99.55735607397575
11275	1108601	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia oligantha	2014.0	Brazil	Silica dried	-34.29304566924672	-57.22974225872726
11241	1120086	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia schottiana	2015.0	Brazil	Silica dried	36.057495898588535	-119.41513249469473
11257	1120090	Laurales	Monimiaceae	Mollinedia	Mollinedia Mollinedia argyrogyna	2015.0	Brazil	Silica dried	19.970592795876296	-99.98833914216105
11255	1120137	Laurales	Monimiaceae	Macrotorus	Macrotorus Macrotorus utriculatus	2015.0	Brazil	Silica dried	44.42703834957868	-73.82792667097728
11243	1200519	Laurales	Monimiaceae	Grazielanthus	Grazielanthus Grazielanthus arkeocarpus	2017.0	Brazil	Silica dried	44.812655719232914	-73.78511160254264
8172	19780081	Caryophyllales	Cactaceae	Eulychnia	Eulychnia Eulychnia acida			Herbarium	-35.9317956864603	-59.10167552605216
8211	20011223	Caryophyllales	Cactaceae	Rhipsalis	Rhipsalis Rhipsalis teres			Herbarium	-35.69463279905571	-58.018248736611554
4052	924750206	Solanales	Solanaceae	Tubocapsicum	Tubocapsicum Tubocapsicum sp.			Herbarium	-35.37606291295082	-57.45842688079354
4127	944750119	Solanales	Solanaceae	Atropanthe	Atropanthe Atropanthe sp.			Herbarium	18.246042599322553	-97.07205447216178
9229	10 0013 /0	Caryophyllales	Cactaceae	Eriosyce	Eriosyce Eriosyce islayensis			Silica dried	-35.18060729180624	-59.3144162553815
1839	10 0022 /0	Caryophyllales	Cactaceae	Echinocereus	Echinocereus Echinocereus viridiflorus			Silica dried	20.267068406819888	-99.01635349374284
9327	10 0046 /0	Caryophyllales	Anacampserotaceae	Anacampseros	Anacampseros Anacampseros kurtzii			Silica dried	19.771120660844776	-98.95921363950892
9273	10 0050 /0	Caryophyllales	Cactaceae	Deamia	Deamia Deamia testudo			Silica dried	36.92125732095843	-119.8958437339018
9281	10 0191 /c	Caryophyllales	Cactaceae	Turbinicarpus	Turbinicarpus Turbinicarpus valdezianus			Silica dried	18.775920484615156	-100.08352042052417
1806	10 0434 /0	Caryophyllales	Cactaceae	Maihueniopsis	Maihueniopsis Maihueniopsis glomerata			Silica dried	44.30434884725874	-74.49925486982302
1840	10 0439 /0	Caryophyllales	Cactaceae	Acanthocalycium	Acanthocalycium Acanthocalycium spiniflorum			Silica dried	44.687862494699544	-73.28802616620317
9299	10 1071 /e	Caryophyllales	Cactaceae	Melocactus	Melocactus Melocactus oreas			Silica dried	46.03077299852631	-73.61721337301714
1867	10 1079 /c	Caryophyllales	Cactaceae	Micranthocereus	Micranthocereus Micranthocereus polyanthus			Silica dried	36.9166497310401	-119.74039451138962
1804	10 1088 /0	Caryophyllales	Cactaceae	Facheiroa	Facheiroa Facheiroa ulei			Silica dried	45.90542494928434	-73.26117831967338
1829	10 1364 /0	Caryophyllales	Cactaceae	Castellanosia	Castellanosia Castellanosia caineana			Silica dried	-15.084122115889148	-47.74712663155141
9295	10 1400 /0	Caryophyllales	Cactaceae	Discocactus	Discocactus Discocactus zehntneri			Silica dried	18.680757484204012	-100.72288879745405
9249	10 1469 /0	Caryophyllales	Cactaceae	Lasiocereus	Lasiocereus Lasiocereus rupicola			Silica dried	-16.007563700284155	-45.36189568263494
9301	10 1484 /0	Caryophyllales	Cactaceae	Micranthocereus	Micranthocereus Micranthocereus dolichospermaticus			Silica dried	20.042077874213938	-100.14970083719486
9245	10 1681 /0	Caryophyllales	Cactaceae	Grusonia	Grusonia Grusonia pulchella			Silica dried	-34.85837443603599	-59.667043581793614
1836	10 1709 /0	Caryophyllales	Cactaceae	Denmoza	Denmoza Denmoza rhodacantha			Silica dried	-15.645694455882264	-46.60709949175548
9277	10 1882 /0	Caryophyllales	Cactaceae	Tephrocactus	Tephrocactus Tephrocactus verschaffeltii			Silica dried	36.730397605377966	-118.30216496861749
1835	10 1937 /c	Caryophyllales	Cactaceae	Dendrocereus	Dendrocereus Dendrocereus nudiflorus			Silica dried	37.402802359832776	-119.51931171080562
9237	10 2474 /0	Caryophyllales	Cactaceae	Ferocactus	Ferocactus Ferocactus wislizeni			Silica dried	17.869674788680737	-99.29787740683058
1819	11 0486 /0	Caryophyllales	Cactaceae	Arrojadoa	Arrojadoa Arrojadoa rhodantha			Silica dried	19.95437289659702	-98.55114251543287
9231	11 0609 /a	Caryophyllales	Cactaceae	Espostoa	Espostoa Espostoa lanata			Silica dried	-14.935231120782644	-45.806560435326006
1907	11 0755 /0	Caryophyllales	Cactaceae	Haageocereus	Haageocereus Haageocereus fascicularis			Silica dried	-34.518396544118986	-58.053932958065886
1808	13 0042 /b	Caryophyllales	Cactaceae	Opuntia	Opuntia Opuntia ficus-indica			Silica dried	-14.44922035544264	-46.92816849515959
1842	14 0002 /0	Caryophyllales	Cactaceae	Trichocereus	Trichocereus Trichocereus macrogonus			Silica dried	-13.803213486592675	-45.5148160912995
9269	14 0126 /0	Caryophyllales	Cactaceae	Sclerocactus	Sclerocactus Sclerocactus scheeri			Silica dried	-34.96586019050964	-57.90965097194308
9195	15 0095 /0	Caryophyllales	Cactaceae	Cephalocereus	Cephalocereus Cephalocereus senilis			Silica dried	38.187884338634326	-122.72186308360247
1861	15 0167 /0	Caryophyllales	Cactaceae	Leuenbergeria	Leuenbergeria Leuenbergeria quisqueyana			Silica dried	45.53498247662264	-73.05771234409517
9201	16 0235 /0	Caryophyllales	Cactaceae	Rapicactus	Rapicactus Rapicactus mandragora			Silica dried	-35.09145086772511	-58.20163732695723
1809	16 0279 /0	Caryophyllales	Cactaceae	Parodia	Parodia Parodia haselbergii			Silica dried	-16.50328769511975	-48.13051791390361
9187	16 0289 /0	Caryophyllales	Cactaceae	Rebutia	Rebutia Rebutia einsteinii			Silica dried	19.130661225720633	-98.83054527191358
9239	16 0309 /0	Caryophyllales	Cactaceae	Ferocactus	Ferocactus Ferocactus haematacanthus			Silica dried	36.026762438133915	-120.64464865601181
1865	16 0339 /0	Caryophyllales	Cactaceae	Mammilloydia	Mammilloydia Mammilloydia candida			Silica dried	37.037168542745896	-117.39392746237468
9243	17 0162 /0	Caryophyllales	Cactaceae	Grusonia	Grusonia Grusonia bradtiana			Silica dried	-14.094734919922697	-48.047234505323004
9319	18 0128 /0	Caryophyllales	Talinaceae	Talinum	Talinum Talinum fruticosum			Silica dried	18.75823211505728	-98.50223244015416
8601	2015-986	Asterales	Asteraceae	Leptinella	Leptinella Leptinella scariosa			Silica dried	-13.779760456009212	-48.12408232730064
9227	77 1213 /a	Caryophyllales	Cactaceae	Echinopsis	Echinopsis Echinopsis bruchii			Silica dried	36.48385208751352	-119.57913102328267
1816	77 1937 /0	Caryophyllales	Cactaceae	Armatocereus	Armatocereus Armatocereus laetus			Silica dried	37.41324144780283	-119.76600299370048
1805	78 1419 /0	Caryophyllales	Cactaceae	Lepismium	Lepismium Lepismium cruciforme			Silica dried	19.5327612561997	-100.16998424638697
9257	78 2635 /0	Caryophyllales	Cactaceae	Eriosyce	Eriosyce Eriosyce senilis			Silica dried	17.99714144137236	-98.83055107579072
1878	78 2677 /0	Caryophyllales	Cactaceae	Pelecyphora	Pelecyphora Pelecyphora aselliformis			Silica dried	-16.136911148924554	-46.662573921933514
8092	79 2490/0	Caryophyllales	Cactaceae	Coryphantha	Coryphantha Coryphantha sulcata			Silica dried	19.041710448373053	-98.61905389398206
9203	80 3255 /0	Caryophyllales	Cactaceae	Cipocereus	Cipocereus Cipocereus pusilliflorus			Silica dried	17.769785674255107	-99.6993630995363
9207	80 3277 /0	Caryophyllales	Cactaceae	Cleistocactus	Cleistocactus Cleistocactus winteri			Silica dried	-13.88978494147654	-46.75820385442915
1881	80 5101 /0	Caryophyllales	Cactaceae	Polaskia	Polaskia Polaskia chichipe			Silica dried	47.60552048800698	-75.25416772393243
8091	81 1507 /b	Caryophyllales	Cactaceae	Coryphantha	Coryphantha Coryphantha macromeris			Silica dried	-35.513952529815946	-57.271069151588534
1807	82 2337 /b	Caryophyllales	Cactaceae	Mammillaria	Mammillaria Mammillaria mammillaris			Silica dried	-14.433829554603765	-47.573919897560806
1802	82 2541 /b	Caryophyllales	Cactaceae	Coleocephalocereus	Coleocephalocereus Coleocephalocereus aureus			Silica dried	-33.62914830025004	-57.7620119749315
1895	82 3648 /d	Caryophyllales	Cactaceae	Stetsonia	Stetsonia Stetsonia coryne			Silica dried	17.988110925103335	-99.78172018012822
9209	84 1075 /0	Caryophyllales	Cactaceae	Cleistocactus	Cleistocactus Cleistocactus samaipatanus			Silica dried	35.674851392074885	-119.03683477079107
9259	84 3732 /a	Caryophyllales	Cactaceae	Mitrocereus	Mitrocereus Mitrocereus militaris			Silica dried	45.660094687962534	-73.79680043552655
9265	85  2177 /0	Caryophyllales	Cactaceae	Pfeiffera	Pfeiffera Pfeiffera miyagawae			Silica dried	18.225402843401596	-99.89571200383037
1832	85 1468 /1b	Caryophyllales	Cactaceae	Cleistocactus	Cleistocactus Cleistocactus chrysocephalus			Silica dried	18.309188726570053	-100.3251280976663
8094	85 1839 /2	Caryophyllales	Cactaceae	Echinopsis	Echinopsis Echinopsis chamaecereus			Silica dried	18.51567860095533	-97.62619405732009
1908	85 2958 /0	Caryophyllales	Cactaceae	Rebutia	Rebutia Rebutia neocumingii			Silica dried	39.71911403799431	-119.82269404361556
1797	85 3295 /0	Caryophyllales	Cactaceae	Pseudorhipsalis	Pseudorhipsalis Pseudorhipsalis acuminata			Silica dried	46.39160053123506	-73.00372418560498
9253	85 3304 /0	Caryophyllales	Cactaceae	Lophocereus	Lophocereus Lophocereus marginatus			Silica dried	-34.737334855622535	-58.77711622969441
9275	86 2064 /0	Caryophyllales	Cactaceae	Tephrocactus	Tephrocactus Tephrocactus articulatus			Silica dried	43.170662426018495	-72.76977460144137
